date,year,month,day,weekday,prize1,top3,top2,front3_1,front3_2,back3_1,back3_2,bottom2
1997-08-01,1997,8,1,ศุกร์,054272,272,72,797,145,414,440,31
1997-08-16,1997,8,16,เสาร์,156967,967,67,235,957,596,,30
1997-09-01,1997,9,1,จันทร์,083537,537,37,132,319,658,716,59
1997-09-16,1997,9,16,อังคาร,527514,514,14,251,335,687,935,98
1997-10-01,1997,10,1,พุธ,444413,413,13,808,689,746,698,24
1997-10-16,1997,10,16,พฤหัสบดี,405124,124,24,280,356,459,125,98
1997-11-01,1997,11,1,เสาร์,974201,201,01,830,877,283,064,39
1997-11-16,1997,11,16,อาทิตย์,875462,462,62,539,573,730,038,99
1997-12-01,1997,12,1,จันทร์,241559,559,59,392,982,677,168,86
1997-12-16,1997,12,16,อังคาร,294240,240,40,975,762,142,408,71
1997-12-30,1997,12,30,อังคาร,675704,704,04,044,327,977,788,65
1998-01-16,1998,1,16,ศุกร์,947195,195,95,425,185,833,792,34
1998-02-01,1998,2,1,อาทิตย์,665959,959,59,381,685,788,941,48
1998-02-16,1998,2,16,จันทร์,612897,897,97,460,234,356,213,69
1998-03-01,1998,3,1,อาทิตย์,236864,864,64,867,285,127,562,74
1998-03-16,1998,3,16,จันทร์,572701,701,01,260,852,943,506,79
1998-04-01,1998,4,1,พุธ,496930,930,30,454,563,882,786,66
1998-04-16,1998,4,16,พฤหัสบดี,146573,573,73,202,153,705,664,17
1998-05-02,1998,5,2,เสาร์,663807,807,07,802,946,143,325,72
1998-05-16,1998,5,16,เสาร์,840043,043,43,984,258,981,950,63
1998-06-01,1998,6,1,จันทร์,820088,088,88,014,649,781,530,67
1998-06-16,1998,6,16,อังคาร,858076,076,76,235,316,219,533,19
1998-07-01,1998,7,1,พุธ,595123,123,23,076,101,606,314,65
1998-07-16,1998,7,16,พฤหัสบดี,599991,991,91,012,401,904,935,52
1998-08-01,1998,8,1,เสาร์,748493,493,93,015,001,771,862,22
1998-08-16,1998,8,16,อาทิตย์,081784,784,84,724,464,644,677,91
1998-09-01,1998,9,1,อังคาร,872795,795,95,316,042,551,060,96
1998-09-16,1998,9,16,พุธ,065720,720,20,782,584,401,311,65
1998-10-01,1998,10,1,พฤหัสบดี,987844,844,44,806,286,728,470,18
1998-10-16,1998,10,16,ศุกร์,261080,080,80,461,935,755,695,74
1998-11-01,1998,11,1,อาทิตย์,920846,846,46,081,316,044,289,29
1998-11-16,1998,11,16,จันทร์,270744,744,44,480,763,785,794,20
1998-12-01,1998,12,1,อังคาร,836569,569,69,115,075,944,200,58
1998-12-16,1998,12,16,พุธ,181813,813,13,306,175,498,560,55
1998-12-30,1998,12,30,พุธ,464147,147,47,778,094,924,983,50
1999-01-16,1999,1,16,เสาร์,190611,611,11,186,543,854,976,13
1999-02-01,1999,2,1,จันทร์,342860,860,60,361,048,735,752,69
1999-02-16,1999,2,16,อังคาร,307213,213,13,456,091,404,782,41
1999-03-02,1999,3,2,อังคาร,660214,214,14,645,612,927,479,58
1999-03-16,1999,3,16,อังคาร,577278,278,78,089,418,606,415,63
1999-04-01,1999,4,1,พฤหัสบดี,479957,957,57,713,471,858,670,92
1999-04-16,1999,4,16,ศุกร์,625094,094,94,394,432,067,859,35
1999-05-02,1999,5,2,อาทิตย์,691483,483,83,686,003,715,184,45
1999-05-16,1999,5,16,อาทิตย์,618818,818,18,843,074,884,870,16
1999-06-01,1999,6,1,อังคาร,077626,626,26,606,177,951,340,08
1999-06-16,1999,6,16,พุธ,278794,794,94,917,422,859,742,63
1999-07-01,1999,7,1,พฤหัสบดี,386441,441,41,152,987,001,211,67
1999-07-16,1999,7,16,ศุกร์,070416,416,16,138,349,343,004,03
1999-08-01,1999,8,1,อาทิตย์,056860,860,60,688,064,303,994,98
1999-08-16,1999,8,16,จันทร์,340998,998,98,696,333,371,111,65
1999-09-01,1999,9,1,พุธ,591344,344,44,261,237,275,861,33
1999-09-16,1999,9,16,พฤหัสบดี,807506,506,06,593,268,283,734,46
1999-10-01,1999,10,1,ศุกร์,830676,676,76,287,215,167,234,80
1999-10-16,1999,10,16,เสาร์,410227,227,27,468,304,750,467,28
1999-11-01,1999,11,1,จันทร์,561335,335,35,655,882,570,141,03
1999-11-16,1999,11,16,อังคาร,764354,354,54,978,723,324,293,14
1999-12-01,1999,12,1,พุธ,669281,281,81,952,896,999,999,79
1999-12-16,1999,12,16,พฤหัสบดี,139853,853,53,131,688,143,656,30
